date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986890579,1.000000001342763,46303774477
2024-12-25,1.0,0.9999999984096358,1.0000000015141286,46303774477
2024-12-26,1.0,0.9999999980176779,1.0000000019733772,46303774477
2024-12-27,1.0,0.9999999974247047,1.00000000244623,46303774477
2024-12-28,1.0,0.9999999962521092,1.000000003737047,46303774477
2024-12-29,1.0,0.9999999947930802,1.0000000049302604,46303774477
2024-12-30,1.0,0.9999999926291631,1.0000000065046115,46303774477
2024-12-31,1.0,0.9999999907661491,1.0000000086889984,46303774477
2025-01-01,1.0,0.9999999885766132,1.0000000108224805,46303774477
2025-01-02,1.0,0.9999999856970803,1.0000000134298206,46303774477
2025-01-03,1.0,0.9999999837460184,1.000000015600008,46303774477
2025-01-04,1.0,0.9999999807042274,1.000000018778279,46303774477
2025-01-05,1.0,0.9999999788526012,1.0000000209016044,46303774477
2025-01-06,1.0,0.9999999762222861,1.0000000229330135,46303774477
2025-01-07,1.0,0.9999999721448795,1.0000000263456617,46303774477
2025-01-08,1.0,0.9999999683023435,1.0000000290562823,46303774477
2025-01-09,1.0,0.9999999648870134,1.000000032579524,46303774477
2025-01-10,1.0,0.9999999613182489,1.0000000357200138,46303774477
2025-01-11,1.0,0.9999999578343208,1.0000000391357673,46303774477
2025-01-12,1.0,0.9999999537977987,1.0000000418938177,46303774477
2025-01-13,1.0,0.9999999504124469,1.0000000463640166,46303774477
2025-01-14,1.0,0.9999999462568125,1.0000000492938859,46303774477
2025-01-15,1.0,0.999999942045715,1.000000053994572,46303774477
2025-01-16,1.0,0.9999999377431923,1.0000000572943515,46303774477
2025-01-17,1.0,0.9999999348277917,1.0000000625180498,46303774477
2025-01-18,1.0,0.99999993002588,1.0000000658407417,46303774477
2025-01-19,1.0,0.9999999252138568,1.0000000695377032,46303774477
2025-01-20,1.0,0.9999999209287825,1.000000075566677,46303774477
2025-03-04,1.9999996656589085,1.999999665657609,1.999999665660417,46303862950
2025-03-05,1.9999996656589087,1.9999996656574135,1.9999996656604762,46303862950
2025-03-06,1.9999996656589092,1.9999996656573065,1.9999996656607268,46303862950
2025-03-07,1.9999996656589094,1.999999665657112,1.9999996656609584,46303862950
2025-03-08,1.9999996656589096,1.9999996656568721,1.9999996656614254,46303862950
2025-03-09,1.99999966565891,1.999999665656361,2.00001429718126,46303862950
2025-03-10,1.9999996656589103,1.9999857324969776,2.000061528605516,46303862950
2025-03-11,1.9999996656589105,1.999955182127002,2.000125003095126,46303862950
2025-03-12,1.9999996656589107,1.9999057374315503,2.0001812699650636,46303862950
2025-03-13,1.9999996656589112,1.9998380875421229,2.0002472614449918,46303862950
2025-03-14,1.9999996656589114,1.9997405264115156,2.000327497243177,46303862950
2025-03-15,1.9999996656589116,1.9996589818797916,2.0003879596955607,46303862950
2025-03-16,1.9999996656589119,1.9995710083475586,2.0004614527743687,46303862950
2025-03-17,1.9999996656589123,1.99948758461937,2.0005236165215803,46303862950
2025-03-18,1.9999996656589125,1.9993926430027433,2.0006207629331536,46303862950
2025-03-19,1.9999996656589127,1.9993093030024967,2.0007131352191756,46303862950
2025-03-20,1.9999996656589132,1.9992325457344184,2.0008031300111604,46303862950
2025-03-21,1.9999996656589134,1.99912574889876,2.000953040862992,46303862950
2025-03-22,1.9999996656589136,1.9990152183965466,2.0010741367736657,46303862950
2025-03-23,1.9999996656589138,1.9988746210447716,2.0011848989389702,46303862950
2025-03-24,1.9999996656589143,1.998696269316622,2.0013416305139367,46303862950
2025-03-25,1.9999996656589145,1.9985648904080138,2.001457363587821,46303862950
2025-03-26,1.9999996656589147,1.9984393948505892,2.0016571454493626,46303862950
2025-03-27,1.999999665658915,1.9983088705136471,2.0017953897446095,46303862950
2025-03-28,1.9999996656589154,1.998166978390752,2.001971550573265,46303862950
2025-03-29,1.9999996656589156,1.9980977485103455,2.0021709633982834,46303862950
2025-03-30,1.9999996656589158,1.997997910436772,2.0023049882494877,46303862950
2025-03-31,1.9999996656589163,1.9977982281756783,2.0024462832372056,46303862950
2025-03-04,5.434594712288739,1.3325689312112095,9.583459633252607,46303877432
2025-03-05,4.865590756422694,0.799458341172986,8.948181214320702,46303877432
2025-03-06,4.296586800556636,0.6093877355047045,8.346270319065605,46303877432
2025-03-07,3.727582844690591,-0.5751319040055883,7.549160814487643,46303877432
2025-03-08,3.1585788888245467,-1.0664871433750154,7.124017473704423,46303877432
2025-03-09,2.5895749329585023,-1.5485545678451376,6.83609203626989,46303877432
2025-03-10,2.020570977092458,-2.141088060729919,5.844826815646191,46303877432
2025-03-11,1.4515670212264133,-3.010861657161703,5.526233161376622,46303877432
2025-03-12,0.8825630653603618,-3.3593899715123534,5.145064013981499,46303877432
2025-03-13,0.3135591094943173,-3.717145095103554,4.448755341410003,46303877432
2025-03-14,-0.25544484637172715,-4.66871303008187,3.830269925359326,46303877432
2025-03-15,-0.8244488022377716,-4.927945484817349,3.097592155759972,46303877432
2025-03-16,-1.393452758103816,-5.462829132626483,2.7189789980348515,46303877432
2025-03-17,-1.9624567139698605,-5.850763742418205,1.926220477090844,46303877432
2025-03-18,-2.531460669835919,-6.3992023389289185,1.713158960501133,46303877432
2025-03-19,-3.1004646257019637,-7.006281647231428,1.2016721023919847,46303877432
2025-03-20,-3.669468581568008,-7.601837274021322,0.6401497774266379,46303877432
2025-03-21,-4.238472537434053,-8.038151813941306,-0.035285756883779905,46303877432
2025-03-22,-4.807476493300097,-8.712138009236,-0.5083681119065728,46303877432
